InterPad_I	InterPad_V
-1.4863e-06	-5.0000e-01
-1.4788e-06	-4.9900e-01
-1.4799e-06	-4.9800e-01
-1.4786e-06	-4.9700e-01
-1.4776e-06	-4.9600e-01
-1.4803e-06	-4.9500e-01
-1.4839e-06	-4.9400e-01
-1.4793e-06	-4.9300e-01
-1.4706e-06	-4.9200e-01
-1.4855e-06	-4.9100e-01
-1.4839e-06	-4.9000e-01
-1.4823e-06	-4.8900e-01
-1.4851e-06	-4.8800e-01
-1.4803e-06	-4.8700e-01
-1.4825e-06	-4.8600e-01
-1.4878e-06	-4.8500e-01
-1.4733e-06	-4.8400e-01
-1.4704e-06	-4.8300e-01
-1.4769e-06	-4.8200e-01
-1.4674e-06	-4.8100e-01
-1.4760e-06	-4.8000e-01
-1.4749e-06	-4.7900e-01
-1.4756e-06	-4.7800e-01
-1.4744e-06	-4.7700e-01
-1.4778e-06	-4.7600e-01
-1.4787e-06	-4.7500e-01
-1.4775e-06	-4.7400e-01
-1.4702e-06	-4.7300e-01
-1.4704e-06	-4.7200e-01
-1.4727e-06	-4.7100e-01
-1.4687e-06	-4.7000e-01
-1.4716e-06	-4.6900e-01
-1.4658e-06	-4.6800e-01
-1.4758e-06	-4.6700e-01
-1.4737e-06	-4.6600e-01
-1.4653e-06	-4.6500e-01
-1.4617e-06	-4.6400e-01
-1.4710e-06	-4.6300e-01
-1.4740e-06	-4.6200e-01
-1.4781e-06	-4.6100e-01
-1.4748e-06	-4.6000e-01
-1.4766e-06	-4.5900e-01
-1.4698e-06	-4.5800e-01
-1.4723e-06	-4.5700e-01
-1.4724e-06	-4.5600e-01
-1.4716e-06	-4.5500e-01
-1.4612e-06	-4.5400e-01
-1.4620e-06	-4.5300e-01
-1.4680e-06	-4.5200e-01
-1.4561e-06	-4.5100e-01
-1.4616e-06	-4.5000e-01
-1.4579e-06	-4.4900e-01
-1.4630e-06	-4.4800e-01
-1.4629e-06	-4.4700e-01
-1.4615e-06	-4.4600e-01
-1.4591e-06	-4.4500e-01
-1.4559e-06	-4.4400e-01
-1.4597e-06	-4.4300e-01
-1.4632e-06	-4.4200e-01
-1.4551e-06	-4.4100e-01
-1.4633e-06	-4.4000e-01
-1.4566e-06	-4.3900e-01
-1.4583e-06	-4.3800e-01
-1.4625e-06	-4.3700e-01
-1.4416e-06	-4.3600e-01
-1.4556e-06	-4.3500e-01
-1.4549e-06	-4.3400e-01
-1.4568e-06	-4.3300e-01
-1.4512e-06	-4.3200e-01
-1.4411e-06	-4.3100e-01
-1.4471e-06	-4.3000e-01
-1.4516e-06	-4.2900e-01
-1.4544e-06	-4.2800e-01
-1.4441e-06	-4.2700e-01
-1.4442e-06	-4.2600e-01
-1.4411e-06	-4.2500e-01
-1.4503e-06	-4.2400e-01
-1.4427e-06	-4.2300e-01
-1.4465e-06	-4.2200e-01
-1.4414e-06	-4.2100e-01
-1.4390e-06	-4.2000e-01
-1.4412e-06	-4.1900e-01
-1.4366e-06	-4.1800e-01
-1.4351e-06	-4.1700e-01
-1.4440e-06	-4.1600e-01
-1.4396e-06	-4.1500e-01
-1.4388e-06	-4.1400e-01
-1.4415e-06	-4.1300e-01
-1.4368e-06	-4.1200e-01
-1.4339e-06	-4.1100e-01
-1.4296e-06	-4.1000e-01
-1.4293e-06	-4.0900e-01
-1.4306e-06	-4.0800e-01
-1.4282e-06	-4.0700e-01
-1.4239e-06	-4.0600e-01
-1.4217e-06	-4.0500e-01
-1.4276e-06	-4.0400e-01
-1.4273e-06	-4.0300e-01
-1.4248e-06	-4.0200e-01
-1.4211e-06	-4.0100e-01
-1.4258e-06	-4.0000e-01
